group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,1,1168,1168,1168,1168,1168
"web · gemini-3.1-flash-lite",endpointMs,1,462,462,462,462,462
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,1,162,162,162,162,162
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,1,1,1,1,1,1
"web · gemini-3.1-flash-lite",preLlmMs,1,16,16,16,16,16
"web · gemini-3.1-flash-lite",prepMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,1,1618,1618,1618,1618,1618
"web · gemini-3.1-flash-lite",llmTtftAbsMs,1,1790,1790,1790,1790,1790
"web · gemini-3.1-flash-lite",specLeadMs,1,172,172,172,172,172
"web · gemini-3.1-flash-lite",llmMs,1,1627,1627,1627,1627,1627
"web · gemini-3.1-flash-lite",ttsTtfaMs,1,361,361,361,361,361
"web · gemini-3.1-flash-lite",ttfaMs,1,1997,1997,1997,1997,1997
"web · gemini-3.1-flash-lite",waitMs,1,2475,2475,2475,2475,2475
"web · gemini-3.1-flash-lite",totalMs,1,2902,2902,2902,2902,2902
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,1,3184,3184,3184,3184,3184
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,1,3184,3184,3184,3184,3184
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,9,1049,1780,1780,1780,1780
"web · gemini-3.5-flash-lite",endpointMs,7,457,461,461,461,461
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,8,0,1511,1511,1511,1511
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,8,157,399,399,399,399
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,11,0,8398,9734,9734,9734
"web · gemini-3.5-flash-lite",preLlmMs,11,2,375,479,479,479
"web · gemini-3.5-flash-lite",prepMs,11,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,11,0,0,0,0,0
"web · gemini-3.5-flash-lite",llmTtftMs,11,616,865,939,939,939
"web · gemini-3.5-flash-lite",llmTtftAbsMs,11,839,939,986,986,986
"web · gemini-3.5-flash-lite",specLeadMs,8,160,2523,2523,2523,2523
"web · gemini-3.5-flash-lite",llmMs,11,621,901,943,943,943
"web · gemini-3.5-flash-lite",ttsTtfaMs,11,423,550,554,554,554
"web · gemini-3.5-flash-lite",ttfaMs,11,1140,1351,1497,1497,1497
"web · gemini-3.5-flash-lite",waitMs,11,1500,1774,1830,1830,1830
"web · gemini-3.5-flash-lite",totalMs,11,1653,2062,2529,2529,2529
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,11,2268,4686,4734,4734,4734
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,11,2268,4734,5632,5632,5632
"web · gemini-3.5-flash-lite",elLagP99Ms,11,36,36,36,36,36
"web · gemini-3.5-flash-lite",elLagMaxMs,11,39,44,47,47,47
