group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,14,1004,1780,1884,1884,1884
"web · gemini-3.5-flash-lite",endpointMs,13,458,466,1402,1402,1402
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,14,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,14,158,1102,2220,2220,2220
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,17,0,7975,7998,7998,7998
"web · gemini-3.5-flash-lite",preLlmMs,17,2,364,415,415,415
"web · gemini-3.5-flash-lite",prepMs,17,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,17,0,0,0,0,0
"web · gemini-3.5-flash-lite",llmTtftMs,17,777,1413,1560,1560,1560
"web · gemini-3.5-flash-lite",llmTtftAbsMs,17,898,1712,1910,1910,1910
"web · gemini-3.5-flash-lite",specLeadMs,13,165,849,1104,1104,1104
"web · gemini-3.5-flash-lite",llmMs,17,778,1415,1562,1562,1562
"web · gemini-3.5-flash-lite",ttsTtfaMs,17,429,544,591,591,591
"web · gemini-3.5-flash-lite",ttfaMs,17,1230,1896,1917,1917,1917
"web · gemini-3.5-flash-lite",waitMs,17,1708,2332,2348,2348,2348
"web · gemini-3.5-flash-lite",totalMs,17,1672,2545,2637,2637,2637
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,17,2249,4573,6119,6119,6119
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,17,2337,5532,6119,6119,6119
"web · gemini-3.5-flash-lite",elLagP99Ms,16,36,36,37,37,37
"web · gemini-3.5-flash-lite",elLagMaxMs,16,40,44,47,47,47
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,2,917,918,918,918,918
"web · gemini-3.1-flash-lite",endpointMs,2,457,457,457,457,457
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,2,157,157,157,157,157
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",preLlmMs,2,1,5,5,5,5
"web · gemini-3.1-flash-lite",prepMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,2,845,3731,3731,3731,3731
"web · gemini-3.1-flash-lite",llmTtftAbsMs,2,1002,3892,3892,3892,3892
"web · gemini-3.1-flash-lite",specLeadMs,2,157,161,161,161,161
"web · gemini-3.1-flash-lite",llmMs,2,846,3733,3733,3733,3733
"web · gemini-3.1-flash-lite",ttsTtfaMs,2,328,544,544,544,544
"web · gemini-3.1-flash-lite",ttfaMs,2,1174,4276,4276,4276,4276
"web · gemini-3.1-flash-lite",waitMs,2,1632,4738,4738,4738,4738
"web · gemini-3.1-flash-lite",totalMs,2,1973,4745,4745,4745,4745
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,2,2093,5197,5197,5197,5197
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,2,2093,5197,5197,5197,5197
"web · gemini-3.1-flash-lite",elLagP99Ms,2,36,36,36,36,36
"web · gemini-3.1-flash-lite",elLagMaxMs,2,38,44,44,44,44
