group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,18,950,1921,1931,1931,1931
"web · gemini-3.5-flash-lite",endpointMs,18,455,1406,1410,1410,1410
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,20,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,20,155,1106,1109,1109,1109
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,20,0,1,8752,8918,8918
"web · gemini-3.5-flash-lite",preLlmMs,20,1,14,329,340,340
"web · gemini-3.5-flash-lite",prepMs,20,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,20,0,0,0,0,0
"web · gemini-3.5-flash-lite",llmTtftMs,20,658,2483,3378,3519,3519
"web · gemini-3.5-flash-lite",llmTtftAbsMs,20,885,3142,3519,3559,3559
"web · gemini-3.5-flash-lite",specLeadMs,18,162,1108,1110,1110,1110
"web · gemini-3.5-flash-lite",llmMs,20,658,2484,3394,3521,3521
"web · gemini-3.5-flash-lite",ttsTtfaMs,20,420,477,506,777,777
"web · gemini-3.5-flash-lite",ttfaMs,20,1030,3261,3792,3855,3855
"web · gemini-3.5-flash-lite",waitMs,20,1586,3718,4184,4276,4276
"web · gemini-3.5-flash-lite",totalMs,20,1365,3644,4223,5257,5257
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,20,2011,4537,4537,4758,4758
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,20,2070,4758,6223,7986,7986
"web · gemini-3.5-flash-lite",elLagP99Ms,19,36,37,40,40,40
"web · gemini-3.5-flash-lite",elLagMaxMs,19,39,45,59,59,59
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,4,969,1598,1598,1598,1598
"web · gemini-3.1-flash-lite",endpointMs,3,462,465,465,465,465
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,3,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,3,162,165,165,165,165
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,4,0,1,1,1,1
"web · gemini-3.1-flash-lite",preLlmMs,4,1,8,8,8,8
"web · gemini-3.1-flash-lite",prepMs,4,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,4,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,4,1939,7253,7253,7253,7253
"web · gemini-3.1-flash-lite",llmTtftAbsMs,4,2103,7253,7253,7253,7253
"web · gemini-3.1-flash-lite",specLeadMs,3,164,165,165,165,165
"web · gemini-3.1-flash-lite",llmMs,4,1946,7255,7255,7255,7255
"web · gemini-3.1-flash-lite",ttsTtfaMs,4,393,480,480,480,480
"web · gemini-3.1-flash-lite",ttfaMs,4,2341,7735,7735,7735,7735
"web · gemini-3.1-flash-lite",waitMs,4,2804,7739,7739,7739,7739
"web · gemini-3.1-flash-lite",totalMs,4,3141,7909,7909,7909,7909
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,4,3311,9337,9337,9337,9337
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,4,3311,9337,9337,9337,9337
"web · gemini-3.1-flash-lite",elLagP99Ms,4,36,37,37,37,37
"web · gemini-3.1-flash-lite",elLagMaxMs,4,41,45,45,45,45
