group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,12,953,1616,1903,1903,1903
"web · gemini-3.5-flash-lite",endpointMs,11,457,468,1404,1404,1404
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,11,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,11,157,168,1104,1104,1104
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,13,0,1,8004,8004,8004
"web · gemini-3.5-flash-lite",preLlmMs,13,2,13,382,382,382
"web · gemini-3.5-flash-lite",prepMs,13,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,13,0,0,0,0,0
"web · gemini-3.5-flash-lite",llmTtftMs,13,775,22052,23056,23056,23056
"web · gemini-3.5-flash-lite",llmTtftAbsMs,13,1015,22220,23211,23211,23211
"web · gemini-3.5-flash-lite",specLeadMs,11,654,967,1106,1106,1106
"web · gemini-3.5-flash-lite",llmMs,13,789,22060,23058,23058,23058
"web · gemini-3.5-flash-lite",ttsTtfaMs,13,391,498,578,578,578
"web · gemini-3.5-flash-lite",ttfaMs,13,1180,22406,23448,23448,23448
"web · gemini-3.5-flash-lite",waitMs,13,1730,22875,23904,23904,23904
"web · gemini-3.5-flash-lite",totalMs,13,1840,23284,23742,23742,23742
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,13,2229,23327,24368,24368,24368
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,13,2229,23327,24368,24368,24368
"web · gemini-3.5-flash-lite",elLagP99Ms,12,36,37,39,39,39
"web · gemini-3.5-flash-lite",elLagMaxMs,12,40,43,46,46,46
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,1,895,895,895,895,895
"web · gemini-3.1-flash-lite",endpointMs,1,451,451,451,451,451
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,1,151,151,151,151,151
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",preLlmMs,1,3,3,3,3,3
"web · gemini-3.1-flash-lite",prepMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,1,1239,1239,1239,1239,1239
"web · gemini-3.1-flash-lite",llmTtftAbsMs,1,1393,1393,1393,1393,1393
"web · gemini-3.1-flash-lite",specLeadMs,1,154,154,154,154,154
"web · gemini-3.1-flash-lite",llmMs,1,1241,1241,1241,1241,1241
"web · gemini-3.1-flash-lite",ttsTtfaMs,1,454,454,454,454,454
"web · gemini-3.1-flash-lite",ttfaMs,1,1694,1694,1694,1694,1694
"web · gemini-3.1-flash-lite",waitMs,1,2148,2148,2148,2148,2148
"web · gemini-3.1-flash-lite",totalMs,1,1941,1941,1941,1941,1941
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,1,2593,2593,2593,2593,2593
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,1,2593,2593,2593,2593,2593
"web · gemini-3.1-flash-lite",elLagP99Ms,1,36,36,36,36,36
"web · gemini-3.1-flash-lite",elLagMaxMs,1,40,40,40,40,40
