group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,15,1086,1765,3169,3169,3169
"web · gemini-3.5-flash-lite",endpointMs,14,455,501,1414,1414,1414
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,15,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,15,155,2158,2158,2158,2158
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,17,1,8002,8966,8966,8966
"web · gemini-3.5-flash-lite",preLlmMs,17,3,443,497,497,497
"web · gemini-3.5-flash-lite",prepMs,17,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,17,0,0,1,1,1
"web · gemini-3.5-flash-lite",llmTtftMs,17,701,1235,1264,1264,1264
"web · gemini-3.5-flash-lite",llmTtftAbsMs,17,891,1392,1415,1415,1415
"web · gemini-3.5-flash-lite",specLeadMs,14,157,755,2163,2163,2163
"web · gemini-3.5-flash-lite",llmMs,17,717,1240,1265,1265,1265
"web · gemini-3.5-flash-lite",ttsTtfaMs,17,405,623,664,664,664
"web · gemini-3.5-flash-lite",ttfaMs,17,1060,1704,1887,1887,1887
"web · gemini-3.5-flash-lite",waitMs,17,1596,2163,2339,2339,2339
"web · gemini-3.5-flash-lite",totalMs,17,1420,2213,2413,2413,2413
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,17,2393,4633,5624,5624,5624
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,17,2393,5624,5649,5649,5649
"web · gemini-3.5-flash-lite",elLagP99Ms,16,37,41,47,47,47
"web · gemini-3.5-flash-lite",elLagMaxMs,16,48,62,66,66,66
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,2,1072,2960,2960,2960,2960
"web · gemini-3.1-flash-lite",endpointMs,2,451,1414,1414,1414,1414
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,3,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,3,2057,2057,2057,2057,2057
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,3,0,10083,10083,10083,10083
"web · gemini-3.1-flash-lite",preLlmMs,3,9,384,384,384,384
"web · gemini-3.1-flash-lite",prepMs,3,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,3,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,3,1435,2556,2556,2556,2556
"web · gemini-3.1-flash-lite",llmTtftAbsMs,3,2712,3271,3271,3271,3271
"web · gemini-3.1-flash-lite",specLeadMs,2,156,2065,2065,2065,2065
"web · gemini-3.1-flash-lite",llmMs,3,1437,2560,2560,2560,2560
"web · gemini-3.1-flash-lite",ttsTtfaMs,3,399,432,432,432,432
"web · gemini-3.1-flash-lite",ttfaMs,3,1835,2917,2917,2917,2917
"web · gemini-3.1-flash-lite",waitMs,3,3063,3373,3373,3373,3373
"web · gemini-3.1-flash-lite",totalMs,3,2196,3836,3836,3836,3836
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,3,4556,4609,4609,4609,4609
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,3,4609,5986,5986,5986,5986
"web · gemini-3.1-flash-lite",elLagP99Ms,3,38,40,40,40,40
"web · gemini-3.1-flash-lite",elLagMaxMs,3,49,54,54,54,54
