group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,18,969,1980,2154,2154,2154
"web · gemini-3.5-flash-lite",endpointMs,16,457,470,1409,1409,1409
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,17,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,17,159,1109,1109,1109,1109
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,20,0,1,9488,9852,9852
"web · gemini-3.5-flash-lite",preLlmMs,20,2,10,324,396,396
"web · gemini-3.5-flash-lite",prepMs,20,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,20,0,0,0,0,0
"web · gemini-3.5-flash-lite",llmTtftMs,20,632,1026,1459,1515,1515
"web · gemini-3.5-flash-lite",llmTtftAbsMs,20,831,1026,1515,1614,1614
"web · gemini-3.5-flash-lite",specLeadMs,16,163,702,1111,1111,1111
"web · gemini-3.5-flash-lite",llmMs,20,634,1032,1460,1529,1529
"web · gemini-3.5-flash-lite",ttsTtfaMs,20,428,528,561,714,714
"web · gemini-3.5-flash-lite",ttfaMs,20,1086,1475,1815,2094,2094
"web · gemini-3.5-flash-lite",waitMs,20,1544,2097,2126,2270,2270
"web · gemini-3.5-flash-lite",totalMs,20,1666,2157,2514,2812,2812
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,20,2056,4077,4534,4590,4590
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,20,2070,4077,5580,5603,5603
"web · gemini-3.5-flash-lite",elLagP99Ms,19,36,37,39,39,39
"web · gemini-3.5-flash-lite",elLagMaxMs,19,38,46,80,80,80
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,4,920,2710,2710,2710,2710
"web · gemini-3.1-flash-lite",endpointMs,4,460,1413,1413,1413,1413
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,3,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,3,160,161,161,161,161
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,4,0,1,1,1,1
"web · gemini-3.1-flash-lite",preLlmMs,4,1,3,3,3,3
"web · gemini-3.1-flash-lite",prepMs,4,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,4,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,4,1009,1839,1839,1839,1839
"web · gemini-3.1-flash-lite",llmTtftAbsMs,4,1239,2125,2125,2125,2125
"web · gemini-3.1-flash-lite",specLeadMs,4,162,1116,1116,1116,1116
"web · gemini-3.1-flash-lite",llmMs,4,1010,1841,1841,1841,1841
"web · gemini-3.1-flash-lite",ttsTtfaMs,4,373,390,390,390,390
"web · gemini-3.1-flash-lite",ttfaMs,4,1403,2202,2202,2202,2202
"web · gemini-3.1-flash-lite",waitMs,4,1917,2818,2818,2818,2818
"web · gemini-3.1-flash-lite",totalMs,4,1867,2815,2815,2815,2815
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,4,2404,4115,4115,4115,4115
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,4,2404,4115,4115,4115,4115
"web · gemini-3.1-flash-lite",elLagP99Ms,4,36,36,36,36,36
"web · gemini-3.1-flash-lite",elLagMaxMs,4,37,38,38,38,38
