group,stage,n,p50,p90,p95,p99,max
"web · gemini-3.5-flash-lite",speechEndToEndpointMs,9,1107,2849,2849,2849,2849
"web · gemini-3.5-flash-lite",endpointMs,8,454,1402,1402,1402,1402
"web · gemini-3.5-flash-lite",dgLastWordToSpeechFinalMs,9,0,0,0,0,0
"web · gemini-3.5-flash-lite",dgSpeechFinalToCommitMs,9,157,1102,1102,1102,1102
"web · gemini-3.5-flash-lite",dgCommitToTurnMs,10,0,2,9200,9200,9200
"web · gemini-3.5-flash-lite",preLlmMs,10,2,13,320,320,320
"web · gemini-3.5-flash-lite",prepMs,10,0,0,0,0,0
"web · gemini-3.5-flash-lite",ragMs,10,0,0,0,0,0
"web · gemini-3.5-flash-lite",llmTtftMs,10,674,1005,1211,1211,1211
"web · gemini-3.5-flash-lite",llmTtftAbsMs,10,847,1161,1369,1369,1369
"web · gemini-3.5-flash-lite",specLeadMs,8,158,1109,1109,1109,1109
"web · gemini-3.5-flash-lite",llmMs,10,683,1006,1212,1212,1212
"web · gemini-3.5-flash-lite",ttsTtfaMs,10,382,431,478,478,478
"web · gemini-3.5-flash-lite",ttfaMs,10,1082,1384,1596,1596,1596
"web · gemini-3.5-flash-lite",waitMs,10,1535,1905,2054,2054,2054
"web · gemini-3.5-flash-lite",totalMs,10,1705,2450,2456,2456,2456
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstAudioMs,10,2485,3933,4538,4538,4538
"web · gemini-3.5-flash-lite",harnessSpeechEndToFirstReplyAudioMs,10,2485,3933,5371,5371,5371
"web · gemini-3.5-flash-lite",elLagP99Ms,9,36,38,38,38,38
"web · gemini-3.5-flash-lite",elLagMaxMs,9,37,43,43,43,43
"web · gemini-3.1-flash-lite",speechEndToEndpointMs,2,976,1685,1685,1685,1685
"web · gemini-3.1-flash-lite",endpointMs,1,454,454,454,454,454
"web · gemini-3.1-flash-lite",dgLastWordToSpeechFinalMs,1,0,0,0,0,0
"web · gemini-3.1-flash-lite",dgSpeechFinalToCommitMs,1,154,154,154,154,154
"web · gemini-3.1-flash-lite",dgCommitToTurnMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",preLlmMs,2,3,8,8,8,8
"web · gemini-3.1-flash-lite",prepMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",ragMs,2,0,0,0,0,0
"web · gemini-3.1-flash-lite",llmTtftMs,2,1420,2534,2534,2534,2534
"web · gemini-3.1-flash-lite",llmTtftAbsMs,2,1576,2534,2534,2534,2534
"web · gemini-3.1-flash-lite",specLeadMs,1,156,156,156,156,156
"web · gemini-3.1-flash-lite",llmMs,2,1421,2536,2536,2536,2536
"web · gemini-3.1-flash-lite",ttsTtfaMs,2,479,509,509,509,509
"web · gemini-3.1-flash-lite",ttfaMs,2,1932,3020,3020,3020,3020
"web · gemini-3.1-flash-lite",waitMs,2,2389,3028,3028,3028,3028
"web · gemini-3.1-flash-lite",totalMs,2,2190,3223,3223,3223,3223
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstAudioMs,2,2910,4712,4712,4712,4712
"web · gemini-3.1-flash-lite",harnessSpeechEndToFirstReplyAudioMs,2,2910,4712,4712,4712,4712
"web · gemini-3.1-flash-lite",elLagP99Ms,2,36,37,37,37,37
"web · gemini-3.1-flash-lite",elLagMaxMs,2,40,41,41,41,41
