section,id,test_case,command_or_test,evidence,status,blocker
"1. Build, static, dependencies, secrets","T-01","Backend unit suite","`npm test` (1074 tests)","G/01: 1017 pass, 0 fail, 57 skipped","PASS","—"
"1. Build, static, dependencies, secrets","T-02","WS suite","`npm run test:ws`","G/02: 50/50","PASS","—"
"1. Build, static, dependencies, secrets","T-03","Voice suite","`npm run test:voice`","G/03","PASS","—"
"1. Build, static, dependencies, secrets","T-04","STT suite","`npm run test:stt`","G/04","PASS","—"
"1. Build, static, dependencies, secrets","T-05","Client typecheck","`npx tsc --noEmit`","G/05: 0 errors","PASS","—"
"1. Build, static, dependencies, secrets","T-06","Client lint","`npm run lint` / `npm run lint:ratchet`","G/14 full: 76 `no-explicit-any` remain; G/06 ratchet: pass at baseline 76","FAIL (rule) / PASS (ratchet)","burn-down"
"1. Build, static, dependencies, secrets","T-07","Client production build","`npm run build`","G/07","PASS","—"
"1. Build, static, dependencies, secrets","T-08","Backend `npm audit --omit=dev`","","G/08: 0 high, 3 moderate (`qs` via express@4.22.2; `npm audit fix` reports a fix but does not change the tree)","FAIL (moderate)","S-3 upstream"
"1. Build, static, dependencies, secrets","T-09","Client `npm audit --omit=dev`","","G/09: 0 high, 2 moderate (react-router 6.x open redirect; fix is 7.x)","FAIL (moderate)","S-2 semver-major"
"1. Build, static, dependencies, secrets","T-10","Secret scan, tracked tree","G/12","0 hits","PASS","—"
"1. Build, static, dependencies, secrets","T-11","Secret scan, git history","—","keys since `943672c`","OPEN","owner rotate/purge"
"1. Build, static, dependencies, secrets","T-12","`.env` never committed","`git ls-files`","✓","PASS","—"
"1. Build, static, dependencies, secrets","T-13","Backend static analysis","none exists","—","UNVERIFIED","—"
"1. Build, static, dependencies, secrets","T-14","Syntax of every backend file","G/11 `node --check`","all ok","PASS","—"
"1. Build, static, dependencies, secrets","T-15","Prisma schema validates","G/10 `prisma validate`","ok","PASS","—"
"2. Database, migrations, data integrity","T-20","`prisma migrate status` on clone","P/db/rehearsal_existing_db.txt","""up to date"", 2 migrations","PASS","—"
"2. Database, migrations, data integrity","T-21","Repo can build schema from migrations","`0000000000000_baseline` (+seed, +call_transfer)","fresh-DB deploy not executable locally (no pgvector for `CREATE EXTENSION vector`); SQL identical to the rehearsed baseline","PASS (code) / fresh-DB BLOCKED","pgvector"
"2. Database, migrations, data integrity","T-22","Every applied migration has a directory","17 dirs archived, 12 orphan rows tolerated (rehearsed)","P/db","PASS (design)","production resolve pending"
"2. Database, migrations, data integrity","T-23","Live schema = schema.prisma","`QueryCache` orphan; partial index","B24","FAIL (minor)","D-11 decision"
"2. Database, migrations, data integrity","T-24","`migration_lock.toml` present","file","✓","PASS","—"
"2. Database, migrations, data integrity","T-25","Ledger idempotency keys","B13","0/642 null","PASS (data)","—"
"2. Database, migrations, data integrity","T-26","Ledger sum = balance per wallet","needs prod aggregation","—","BLOCKED","E-1"
"2. Database, migrations, data integrity","T-27","Roles limited to defined set","B13","","PASS (data)","—"
"2. Database, migrations, data integrity","T-28","Production free of test fixtures","—","131/182 (B36); cleanup script now covers `__test__`, not run","FAIL","D-8 owner"
"2. Database, migrations, data integrity","T-29","Migration rehearsal on disposable clone","`resolve --applied` + `deploy`","P/db/rehearsal_existing_db.txt","PASS","—"
"2. Database, migrations, data integrity","T-30","Billing integration suites (57)","`test:billing`","self-skip (read `DATABASE_URL`)","BLOCKED","E-1 wiring"
"2. Database, migrations, data integrity","T-31","Pagination on list endpoints","code","in-memory `listWorkspaces`","PARTIAL","A-9"
"2. Database, migrations, data integrity","T-32","Test seeding refuses production URLs","`seed-test-db.mjs` guard","code + run","PASS","—"
"2. Database, migrations, data integrity","T-33","Cleanup script refuses production without backup flag","`clean-test-data.js`","code","PASS (code)","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-40","Unauthenticated → 401","B30","","PASS","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-41","Query-string token refused","B30","","PASS","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-42","Malformed bearer → 401","B30","","PASS","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-43","Login empty body → 400","B30","","PASS","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-44","Member → 403 on admin routes","needs Member login","—","BLOCKED","E-1 (auth flow on test DB not scripted)"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-45","Superadmin reconcile","code","","PASS (code)","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-46","Ban revokes refresh tokens","code","","PASS (code)","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-47","Refresh rotation + reuse rejection","code","","PASS (code)","S-4"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-48","Live access token after ban (A-12)","—","","OPEN","Redis denylist"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-49","Last Superadmin guard","code","","PASS (code)","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-50","Two-tab logout / AUT-16 browser","—","","BLOCKED","browser session"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-51","Audit redaction","5 tests","","PASS","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-52","OTP / login rate limits","code","","PASS (code)","—"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-53","AUT-11 reset-password enumeration (HTTP)","—","unit only","BLOCKED","browser/HTTP session"
"3. Authentication & authorization (unchanged from phase 1 unless noted)","T-54","PUB-07/09 consumer-domain e-mail, PUB-14 catch-all 404 (HTTP)","—","unit only","BLOCKED","HTTP session"
"4. HTTP hardening (unchanged from phase 1)","T-60","Security headers","B30 + csp tests","","PASS","—"
"4. HTTP hardening (unchanged from phase 1)","T-61","Unknown Origin → no CORS, not 500","8 tests","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-62","404 JSON","B30","","PASS","—"
"4. HTTP hardening (unchanged from phase 1)","T-63","JSON body limit","code","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-64","Upload validation","code","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-65","Path traversal","code","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-66","IDOR scoping","code","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-67","SSRF guard","16 tests","","PASS (code)","S-1"
"4. HTTP hardening (unchanged from phase 1)","T-68","Mass assignment validators","code; **agent settings now validated** (`agentSettings.validator.js`, 4 tests)","P/05","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-69","XSS / CSRF review","—","","UNVERIFIED","—"
"4. HTTP hardening (unchanged from phase 1)","T-70","SQL injection","Prisma","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-71","Error leakage","","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-72","Rate limits","","","PASS (code)","—"
"4. HTTP hardening (unchanged from phase 1)","T-73","Transfer callbacks reject forged tokens","`transferCallbacks.test.js`","P/06","PASS","—"
"4. HTTP hardening (unchanged from phase 1)","T-74","Ambience asset route serves only whitelisted bed files","code (regex)","","PASS (code)","—"
"5. Voice runtime — web call","T-80","Per-turn trace id end to end","harness joins by `turnId`","P/latency/report_*/latency_rows.jsonl","PASS","—"
"5. Voice runtime — web call","T-81","Monotonic clocks","code","","PASS (code)","—"
"5. Voice runtime — web call","T-82","First-audible-audio in the browser","1 row ever (owner's call)","","UNVERIFIED","browser session"
"5. Voice runtime — web call","T-83","Event-loop lag on every record","36–40 ms p99","P/latency","PASS","—"
"5. Voice runtime — web call","T-84","≥30 warm turns per route","24–30 turns × 8 arms, one route (modular / Gemini / Sarvam)","P/latency","PARTIAL","other routes, cold, KB, noisy, multilingual not driven"
"5. Voice runtime — web call","T-85","Web actual ≤ 500 ms","harness","**p50 2,136 ms** (was 2,861)","FAIL","L-3, L-4"
"5. Voice runtime — web call","T-86","Perceived reported separately","harness `firstAudioAny`","","PASS","—"
"5. Voice runtime — web call","T-87","BUG-001 phantom turn","two new mechanisms fixed; 0/72 cut-offs","P/latency run 3","PASS (harness)","live BLOCKED"
"5. Voice runtime — web call","T-88","Barge-in cancels everything","unit","","PASS (code)","live"
"5. Voice runtime — web call","T-89","AGT-13 Fast/Patient differ audibly","not driven","","UNVERIFIED","—"
"5. Voice runtime — web call","T-90","No-input ladder","unit","","PASS (code)","live"
"5. Voice runtime — web call","T-91","Offline / reconnect no zombie billing","—","","BLOCKED","E-1"
"5. Voice runtime — web call","T-92","Ambience mixed (BUG-003)","38 unit tests incl. new beds","P/05","PASS (unit)","audible BLOCKED"
"5. Voice runtime — web call","T-93","Safari / mobile","—","","BLOCKED","device"
"5. Voice runtime — web call","T-94","Recording integrity","code","","PASS (code)","—"
"5. Voice runtime — web call","T-95","Speculation never speaks before commit; buffered; discarded on mismatch","`speculativeTurn.test.js` (15) + harness hit/miss rows","P/05, P/latency","PASS","—"
"5. Voice runtime — web call","T-96","Speculation aborts the provider request (AbortSignal)","unit (fake stream)","","PASS (unit)","provider-side confirmation UNVERIFIED"
"5. Voice runtime — web call","T-97","Speculation cost accounted per turn","`specStarted/Wasted` in every record","P/latency reports","PASS","—"
"5. Voice runtime — web call","T-98","Local VAD commit does not cut callers","measured: it does → default off","P/latency arms_run1","FAIL → mitigated (off)","—"
"5. Voice runtime — web call","T-99","Web transfer request is honest and recorded","prompt variant + `WEB_CALLBACK` row; harness turn ""Can I speak to a real person"" → ""I can't connect you to someone directly on this call…""","P/latency harness_fix_off_console.txt","PASS","—"
"6. Voice runtime — phone","T-100","Any phone turn in `latency.log`","—","0","FAIL (no data)","E-2"
"6. Voice runtime — phone","T-101","`wireMs`, pacer depth","code","","PASS (code)","—"
"6. Voice runtime — phone","T-102","Phone actual ≤ 700 ms","—","","BLOCKED","E-2"
"6. Voice runtime — phone","T-103","playout/pacer/AEC on real calls","unit","","PASS (unit)","E-2"
"6. Voice runtime — phone","T-104","Echo never a caller turn","unit + Deepgram fixes","","PASS (unit)","E-2"
"6. Voice runtime — phone","T-105","Region: VPS Mumbai","B32","","PASS","—"
"6. Voice runtime — phone","T-106","No dev-tunnel evidence","none taken","","PASS","—"
"6. Voice runtime — phone","T-107","Concurrency 5/10/25/45","—","","BLOCKED","E-2/E-3"
"6. Voice runtime — phone","T-108","Per-tenant quotas / breakers","absent","","OPEN","B-2"
"6. Voice runtime — phone","T-109","Transfer: intent detection EN/HI/Hinglish + negatives","11 tests","P/05","PASS","—"
"6. Voice runtime — phone","T-110","Transfer: Twilio/Plivo documents + REST bodies","17 tests","P/05","PASS (unit)","—"
"6. Voice runtime — phone","T-111","Transfer: every `<Dial>` outcome → hangup or honest resume","9 HTTP tests","P/06","PASS","—"
"6. Voice runtime — phone","T-112","Transfer: happy path on a real carrier","—","","BLOCKED","E-2 + human on target"
"6. Voice runtime — phone","T-113","Transfer: busy / no-answer / invalid / caller-hangs-up on a real carrier","—","","BLOCKED","E-2"
